18, Pedregulho, Alvo, 0.6, 25.22792, 12.74074
19, Árvore solitária, Alvo, 0.75, 19.73475, 9.442307
20, Muralha da China, Alvo, 0.75, 26.122, 11.97701
21, Pedregulho, Alvo, 0.75, 25.22792, 12.74074
22, Árvore solitária, Alvo, 0.9, 19.63712, 10.09278
23, Muralha da China, Alvo, 0.9, 26.01089, 12.08046
24, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
1, Árvore solitária, Alvo, 0.5, 20.08156, 13.4127
2, Muralha da China, Alvo, 0.5, 26.34422, 14.77612
3, Pedregulho, Alvo, 0.5, 25.37157, 13.24
4, Árvore solitária, Alvo, 0.6, 20.08156, 13.4127
5, Muralha da China, Alvo, 0.6, 26.34422, 14.77612
6, Pedregulho, Alvo, 0.6, 25.37157, 13.24
7, Árvore solitária, Alvo, 0.75, 20.08156, 13.4127
8, Muralha da China, Alvo, 0.75, 26.34422, 14.77612
9, Pedregulho, Alvo, 0.75, 25.37157, 13.24
10, Árvore solitária, Alvo, 0.9, 19.93232, 13
11, Muralha da China, Alvo, 0.9, 26.13548, 13.03922
12, Pedregulho, Alvo, 0.9, 25.43108, 12.75
13, Árvore solitária, Alvo, 0.5, 19.73475, 9.442307
14, Muralha da China, Alvo, 0.5, 26.122, 11.97701
15, Pedregulho, Alvo, 0.5, 25.22792, 12.74074
16, Árvore solitária, Alvo, 0.6, 19.73475, 9.442307
17, Muralha da China, Alvo, 0.6, 26.122, 11.97701
18, Pedregulho, Alvo, 0.6, 25.22792, 12.74074
19, Árvore solitária, Alvo, 0.75, 19.73475, 9.442307
20, Muralha da China, Alvo, 0.75, 26.122, 11.97701
21, Pedregulho, Alvo, 0.75, 25.22792, 12.74074
22, Árvore solitária, Alvo, 0.9, 19.63712, 10.09278
23, Muralha da China, Alvo, 0.9, 26.01089, 12.08046
24, Pedregulho, Alvo, 0.9, 25.22792, 12.54545
25, Árvore solitária, Alvo, 0.5, 20.88071, 13.61111
26, Muralha da China, Alvo, 0.5, 26.88071, 14.2381
27, Pedregulho, Alvo, 0.5, 26.4771, 14.05128
28, Árvore solitária, Alvo, 0.6, 20.88071, 13.61111
29, Muralha da China, Alvo, 0.6, 26.88071, 14.2381
30, Pedregulho, Alvo, 0.6, 26.36599, 14.05
31, Árvore solitária, Alvo, 0.75, 20.88071, 13.61111
32, Muralha da China, Alvo, 0.75, 26.88071, 14.2381
33, Pedregulho, Alvo, 0.75, 26.36599, 14.05
34, Árvore solitária, Alvo, 0.9, 20.25449, 13.66667
35, Muralha da China, Alvo, 0.9, 26.41162, 13.2549
36, Pedregulho, Alvo, 0.9, 25.69932, 13.40816
1, Árvore solitária, Alvo, 0.5, 20.08156, 13.4127
2, Muralha da China, Alvo, 0.5, 26.34422, 14.77612
3, Pedregulho, Alvo, 0.5, 25.37157, 13.24
4, Árvore solitária, Alvo, 0.6, 20.08156, 13.4127
5, Muralha da China, Alvo, 0.6, 26.34422, 14.77612
